#taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	domain
23	periphery	Shewanella colwelliana	Shewanella colwelliana	Bacteria
48	core	Archangium gephyra	Archangium gephyra	Bacteria
52	core	Chondromyces crocatus	Chondromyces crocatus	Bacteria
54	core	Nannocystis exedens	Nannocystis exedens	Bacteria
69	core	Lysobacter enzymogenes	Lysobacter enzymogenes	Bacteria
140	periphery	Borrelia hermsii	Borrelia hermsii	Bacteria
162	core	Treponema phagedenis	Treponema phagedenis	Bacteria
163	periphery	Treponema bryantii	Treponema bryantii	Bacteria
183	core	Leptonema illini	Leptonema illini	Bacteria
192	core	Azospirillum brasilense	Azospirillum brasilense	Bacteria
195	core	Campylobacter coli	Campylobacter coli	Bacteria
202	periphery	Campylobacter mucosalis	Campylobacter mucosalis	Bacteria
211	periphery	Helicobacter sp. CLO3	Helicobacter sp. CLO-3	Bacteria
216	periphery	Helicobacter muridarum	Helicobacter muridarum	Bacteria
238	core	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	Bacteria
244	periphery	Planomicrobium okeanokoites	Planomicrobium okeanokoites	Bacteria
246	periphery	Chryseobacterium balustinum	Chryseobacterium balustinum	Bacteria
253	periphery	Chryseobacterium indologenes	Chryseobacterium indologenes	Bacteria
254	periphery	Chryseobacterium indoltheticum	Chryseobacterium indoltheticum	Bacteria
256	core	Myroides odoratus	Myroides odoratus	Bacteria
276	periphery	Thermus filiformis	Thermus filiformis	Bacteria
292	core	Burkholderia cepacia	Burkholderia cepacia	Bacteria
293	core	Brevundimonas diminuta	Brevundimonas diminuta	Bacteria
294	core	Pseudomonas fluorescens	Pseudomonas fluorescens	Bacteria
296	periphery	Pseudomonas fragi	Pseudomonas fragi	Bacteria
301	periphery	Pseudomonas oleovorans	Pseudomonas oleovorans	Bacteria
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes	Bacteria
375	core	Bradyrhizobium japonicum	Bradyrhizobium japonicum	Bacteria
376	periphery	Bradyrhizobium sp.	Bradyrhizobium sp.	Bacteria
381	core	Mesorhizobium loti	Mesorhizobium loti	Bacteria
382	core	Sinorhizobium meliloti	Sinorhizobium meliloti	Bacteria
394	periphery	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234	Bacteria
396	periphery	Rhizobium phaseoli	Rhizobium phaseoli	Bacteria
435	core	Acetobacter aceti	Acetobacter aceti	Bacteria
447	core	Fluoribacter bozemanae	Fluoribacter bozemanae	Bacteria
448	periphery	Legionella erythra	Legionella erythra	Bacteria
449	periphery	Legionella hackeliae	Legionella hackeliae	Bacteria
451	core	Tatlockia micdadei	Tatlockia micdadei	Bacteria
452	periphery	Legionella spiritensis	Legionella spiritensis	Bacteria
453	periphery	Legionella feeleii	Legionella feeleii	Bacteria
454	periphery	Legionella israelensis	Legionella israelensis	Bacteria
